"itemId","name","value","weaponPower","armorRating","abilityDesc","enchantName","enchantDesc","trait","traitDesc","setBonusDesc1","setBonusDesc2","setBonusDesc3","setBonusDesc4","icon"
"139551","Blueprint: Alinor Armchair, Backless Polished","10","0","0","INGREDIENTS
Heartwood (9), Decorative Wax (6), Culanda Lacquer, Turpen (6)

TO CREATE
Requires Recipe Improvement 3
Requires Woodworking 6","","","","","","","","","/esoui/art/icons/crafting_planfurniture_woodworking_3.dds"
"139545","Blueprint: Alinor Armchair, Backless Verdant","13","0","0","INGREDIENTS
Heartwood (12), Bast (9), Decorative Wax (7), Culanda Lacquer (2), Mastic (3)

TO CREATE
Requires Tailoring 5
Requires Recipe Improvement 3
Requires Woodworking 8","","","","","","","","","/esoui/art/icons/crafting_planfurniture_woodworking_4.dds"
"139547","Blueprint: Alinor Armchair, Noble","13","856--1","-1","","Life Drain Enchantment","Deals 453 Magic Damage and restores 205 Health.","Charged","Increases chance to apply status effects by 400%.","(2 items) Adds 624 Maximum Stamina","(3 items) Adds 73 Stamina Recovery","(4 items) Adds 687 Maximum Health","(5 items) After you are affected by a disabling effect, your damage taken is reduced by 33% for 5 seconds.  This effect can occur every 20 seconds.","/esoui/art/icons/crafting_planfurniture_woodworking_4.dds"
"139548","Blueprint: Alinor Armchair, Overhang","13","0","0","INGREDIENTS
Heartwood (13), Decorative Wax (10), Ochre (7), Culanda Lacquer (2), Mastic (3)

TO CREATE
Requires Recipe Improvement 6
Requires Woodworking 9
Requires Engraver 3","","","","","","","","","/esoui/art/icons/crafting_planfurniture_woodworking_4.dds"
"139550","Blueprint: Alinor Armchair, Polished","10","0","0","INGREDIENTS
Heartwood (10), Decorative Wax (6), Culanda Lacquer, Turpen (6)

TO CREATE
Requires Recipe Improvement 3
Requires Woodworking 7","","","","","","","","","/esoui/art/icons/crafting_planfurniture_woodworking_3.dds"
"139537","Blueprint: Alinor Bed, Canopy Full","13","0","0","INGREDIENTS
Heartwood (13), Bast (11), Decorative Wax (6), Culanda Lacquer (2), Mastic (3)

TO CREATE
Requires Tailoring 7
Requires Recipe Improvement 2
Requires Woodworking 9","","","","","","","","","/esoui/art/icons/crafting_planfurniture_woodworking_4.dds"
"139536","Blueprint: Alinor Bed, Noble Full","13","0","0","INGREDIENTS
Heartwood (12), Bast (10), Decorative Wax (6), Culanda Lacquer (2), Mastic (3)

TO CREATE
Requires Tailoring 6
Requires Recipe Improvement 2
Requires Woodworking 8","","","","","","","","","/esoui/art/icons/crafting_planfurniture_woodworking_4.dds"
"139541","Blueprint: Alinor Bed, Noble Single","10","0","0","INGREDIENTS
Heartwood (10), Bast (6), Decorative Wax (5), Culanda Lacquer, Turpen (6)

TO CREATE
Requires Tailoring 3
Requires Recipe Improvement 2
Requires Woodworking 7","","","","","","","","","/esoui/art/icons/crafting_planfurniture_woodworking_3.dds"
"139538","Blueprint: Alinor Bed, Overhang Full","13","0","0","INGREDIENTS
Heartwood (13), Bast (10), Decorative Wax (7), Culanda Lacquer (2), Mastic (3)

TO CREATE
Requires Tailoring 6
Requires Recipe Improvement 3
Requires Woodworking 9","","","","","","","","","/esoui/art/icons/crafting_planfurniture_woodworking_4.dds"
"139540","Blueprint: Alinor Bed, Polished Full","13","0","0","INGREDIENTS
Heartwood (12), Bast (9), Decorative Wax (7), Culanda Lacquer (2), Mastic (3)

TO CREATE
Requires Tailoring 5
Requires Recipe Improvement 3
Requires Woodworking 8","","","","","","","","","/esoui/art/icons/crafting_planfurniture_woodworking_4.dds"
"139539","Blueprint: Alinor Bed, Polished Single","10","0","0","INGREDIENTS
Heartwood (9), Bast (6), Decorative Wax (4), Culanda Lacquer, Turpen (6)

TO CREATE
Requires Tailoring 3
Requires Recipe Improvement 1
Requires Woodworking 6","","","","","","","","","/esoui/art/icons/crafting_planfurniture_woodworking_3.dds"
"139544","Blueprint: Alinor Bench, Verdant","13","0","0","INGREDIENTS
Heartwood (13), Bast (9), Decorative Wax (8), Culanda Lacquer (2), Mastic (3)

TO CREATE
Requires Tailoring 5
Requires Recipe Improvement 4
Requires Woodworking 9","","","","","","","","","/esoui/art/icons/crafting_planfurniture_woodworking_4.dds"
"141904","Blueprint: Alinor Bookshelf, Grand Full","15","0","0","INGREDIENTS
Heartwood (15), Alchemical Resin (13), Decorative Wax (11), Ochre (11), Culanda Lacquer (2), Rosin

TO CREATE
Requires Solvent Proficiency 8
Requires Recipe Improvement 6
Requires Woodworking 10
Requires Engraver 5","","","","","","","","","/esoui/art/icons/crafting_planfurniture_woodworking_5.dds"
"139542","Blueprint: Alinor Bookshelf, Polished","13","0","0","INGREDIENTS
Heartwood (12), Mundane Rune (6), Decorative Wax (8), Ochre (6), Culanda Lacquer (2), Mastic (3)

TO CREATE
Requires Potency Improvement 2
Requires Recipe Improvement 4
Requires Woodworking 8
Requires Engraver 2","","","","","","","","","/esoui/art/icons/crafting_planfurniture_woodworking_4.dds"
